id	question	referAnswer	stuid	stuAnswer	accuracy
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj3-l1.qa193	The positive battery terminal is separated by the gap from terminal	correct
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj7-l1.qa185	Terminal 1 is not connected to positive terminal	correct
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa223	Because the terminal 1 is connected to the positive battery terminal	contradictory
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa224	Because terminal 1 is not seperated at any gap	contradictory
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa225	Because terminal 1 is connected to both negative and positive terminals	contradictory
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa226	No	incorrect
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa227	I don't understand	incorrect
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa228	Terminal 1 is separated from positive electrode	correct
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj9-l1.qa189	A positive terminal is not connected to the terminal 1.	correct
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa207	Because terminal 1 and positive terminal are connected	contradictory
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa208	Because the terminal 1 is connected to a positive battery terminal	contradictory
answer207.NEW	Explain why you got 1.5 voltage reading for terminal 1 and positive terminal.	The terminal 1 and the positive terminal are in different electrical states	FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa209	Because terminal 1 and positive battery terminal are in the closed path	contradictory
